EVA_NR;DS100;IFOPT;NAME;Verkehr;Laenge;Breite;Betreiber_Name;Betreiber_Nr;Status
8010216;WL;de:13076:4782;Ludwigslust;FV;11,494491;53,334671;DB Station und Service AG;3843;
8010217;BLB;de:12061:900261512;Lübben(Spreewald);FV;13,877182;51,939737;DB Station und Service AG;3802;
8010220;BLN;de:12066:900435602;Lübbenau(Spreewald);FV;13,9609;51,862169;DB Station und Service AG;3805;
8010222;LW;de:15091:8010222;Lutherstadt Wittenberg Hbf;FV;12,662285;51,867811;DB Station und Service AG;3863;
8010224;LM;de:15003:8010224;Magdeburg Hbf;FV;11,626891;52,130349;DB Station und Service AG;3881;
8010226;LMN;de:15003:8010226;Magdeburg-Neustadt;FV;11,641703;52,148843;DB Station und Service AG;3887;
8010240;UNM;de:15084:8010240;Naumburg(Saale)Hbf;FV;11,796984;51,163071;DB Station und Service AG;4309;
8010250;WNT;de:13071:80001;Neustrelitz Hbf;FV;13,074603;53,359255;DB Station und Service AG;4460;
8010255;BHF;de:11000:900120005;Berlin Ostbahnhof;FV;13,4346807;52,5104881;DB Station und Service AG;530;
8010268;WP;de:13075:6237;Pasewalk;FV;13,988875;53,515353;DB Station und Service AG;4870;
8010282;WPL;de:12073:900340050;Prenzlau;FV;13,866532;53,321608;DB Station und Service AG;5023;
8010297;DR;de:14627:5500;Riesa;FV;13,287734;51,309654;DB Station und Service AG;5276;
8010304;WR;de:13003:1489;Rostock Hbf;FV;12,131079;54,078246;DB Station und Service AG;5365;
8010309;US;de:16073:8010309;Saalfeld(Saale);FV;11,3745832;50,6502734;DB Station und Service AG;5450;
8010318;LSB;de:15089:8010318;Schönebeck(Elbe);FV;11,733157;52,018794;DB Station und Service AG;5645;
8010324;WS;de:13004:9005;Schwerin Hbf;FV;11,407455;53,634739;DB Station und Service AG;5755;
8010334;LS;de:15090:8010334;Stendal;FV;11,854412;52,594723;DB Station und Service AG;6010;
8010338;WSR;de:13073:10401;Stralsund Hbf;FV;13,077321;54,308626;DB Station und Service AG;6049;
8010355;WV;de:13073:2153;Velgast;FV;12,803137;54,277316;DB Station und Service AG;6405;
8010361;WWR;de:13071:17001;Waren(Müritz);FV;12,680678;53,521512;DB Station und Service AG;6538;
8010366;UWM;de:16055:8010366;Weimar;FV;11,326458;50,991487;DB Station und Service AG;6617;
8010368;UW;de:15084:8010368;Weißenfels;FV;11,970926;51,204615;DB Station und Service AG;6633;
8010382;WW;de:12070:900216026;Wittenberge;FV;11,762871;53,003115;DB Station und Service AG;6825;
8010396;WZS;de:13075:172;Züssow;FV;13,548191;53,973879;DB Station und Service AG;7063;
8010403;BCHB;de:11000:900024101;Berlin-Charlottenburg;FV;13,3023298;52,5042126;DB Station und Service AG;537;
8010404;BSPD;de:11000:900029101;Berlin-Spandau;FV;13,1968975;52,5346481;DB Station und Service AG;561;
8010405;BWS;de:11000:900053301:3;Berlin Wannsee;FV;13,1795275;52,4209723;DB Station und Service AG;566;
8010406;BZOO;de:11000:900023201;Berlin Zoologischer Garten;FV;13,331992;52,507277;DB Station und Service AG;533;
8011044;WAK;de:13075:12000;Anklam;FV;13,701827;53,856102;DB Station und Service AG;152;
8011051;UAP;de:16071:8011051;Apolda;FV;11,526136;51,03094;DB Station und Service AG;166;
8011102;BGS;de:11000:900007102;Berlin Gesundbrunnen;FV;13,388513;52,548963;DB Station und Service AG;528;
8011113;BPAF;de:11000:900058101;Berlin Südkreuz;FV;13,365319;52,475047;DB Station und Service AG;4859;
8011160;BLS;de:11000:900003201;Berlin Hbf;FV;13,369545;52,525592;DB Station und Service AG;1071;
8011162;BOKN,BOKO,BOKR;de:11000:900120003;Berlin Ostkreuz;FV;13,469105;52,503037;DB Station und Service AG;4809;
8011191;WBI;de:13073:11740;Ostseebad Binz;FV;13,600507;54,404819;DB Station und Service AG;653;
8011862;UHK;de:16074:8011862;Hermsdorf-Klosterlausnitz;FV;11,858626;50,903779;DB Station und Service AG;2721;
8011956;UJP;de:16053:8011956;Jena Paradies;FV;11,587461;50,924856;DB Station und Service AG;3043;
8011957;UJW;de:16053:8011957;Jena West;FV;11,577848;50,923286;DB Station und Service AG;3045;
8012183;LFLU;de:14730:8012183;Leipzig/Halle Flughafen;FV;12,223426;51,423338;DB Station und Service AG;8015;
8012478;LNW,LNW H;de:14713:8012478;Leipzig Messe;FV;12,389278;51,396145;DB Station und Service AG;7848;
8012666;BPD;de:12054:900230999;Potsdam Hbf;FV;13,0667031;52,391509;DB Station und Service AG;5012;
8012683;WPRA;de:13073:11352;Prora;FV;13,564057;54,444986;DB Station und Service AG;5048;
8012762;WRIO;de:13073:5388;Ribnitz-Damgarten Ost;FV;12,487015;54,251016;DB Station und Service AG;5264;
8012763;WRI;de:13073:5018;Ribnitz-Damgarten West;FV;12,436965;54,239176;DB Station und Service AG;5265;
8013025;USR;de:16074:8013025;Stadtroda;FV;11,722792;50,868216;DB Station und Service AG;5960;
8013236;WWM;de:13003:1500;Warnemünde;FV;12,091271;54,176852;DB Station und Service AG;6545;
8013456;LMB;de:15003:8013456;Magdeburg-Buckau;FV;11,63004;52,109204;DB Station und Service AG;3884;
8013470;BBRN;de:12060:900350160:2;Bernau(b Berlin);FV;13,5926414;52,6755689;DB Station und Service AG;571;
8070003;FFLF;de:06412:11511;Frankfurt(M) Flughafen Fernbf;FV;8,570185;50,053167;DB Station und Service AG;7982;
8070004;FFLU;de:06412:2930;Frankfurt(M) Flughafen Regionalbf;FV;8,571251;50,051219;DB Station und Service AG;1849;
8073368;KKDT;de:05315:11901;Köln Messe/Deutz Gl.11-12;FV;6,974067;50,941721;DB Station und Service AG;3329;
8098160;BL;de:11000:900003200;Berlin Hbf (tief);FV;13,369545;52,525592;DB Station und Service AG;1071;
8098262;MH  S;de:09162:100;München Hbf Gl.5-10;FV;11,555371;48,140094;DB Station und Service AG;4234;
